	logFC	logCPM	PValue	FDR
ENSG00000280114	4.30737311803127	-1.53293639962232	3.05624484121288e-14	3.22971607654527e-13
ENSG00000236698	0.308121514419007	1.50401841721164	0.0114094621565242	0.0191722865129582
ENSG00000268869	3.50227269960444	-0.478970003473475	4.49715378021995e-16	6.28256761410561e-15
ENSG00000058453	-0.355960901242088	5.76398666673207	0.00735478014496822	0.0128344491254575
ENSG00000186715	1.74820630214652	3.99239463966832	9.04956515391331e-09	4.17060597331875e-08
ENSG00000228549	-0.00833622193135041	-0.699419197679187	1	1
ENSG00000238142	0.17359337380771	1.03831384572808	0.291144255706915	0.351532452992921
ENSG00000117122	1.18810934028905	4.23103504979474	1.98271858396728e-08	8.67963251979052e-08
ENSG00000159363	0.171782390887032	5.56593143791405	0.085506217184166	0.119102442382559
ENSG00000117118	0.203814054119491	5.5833116683553	0.0147121297027153	0.0241720760282855
ENSG00000117115	1.10407814460263	3.52677630934009	4.330530738936e-05	0.000112514267995972
ENSG00000142623	6.10230902579898	1.30707308119188	1.55207808780546e-21	5.67936187721745e-20
ENSG00000159339	-1.66571247487079	1.10801192317136	0.00188360341872327	0.00367768578858313
ENSG00000179051	0.586657760137497	6.64751256602612	1.40154324346634e-10	8.45767564373543e-10
ENSG00000074964	0.0424101169237596	5.73999243994659	0.740992312463727	0.784784614354904
ENSG00000117154	-0.399031311323626	0.973602706814159	0.110412076856845	0.14945544181505
ENSG00000179023	1.23210774279018	3.0542046761102	6.63724323294358e-07	2.31364878199902e-06
ENSG00000009709	10.4945169087451	2.49826399705848	1.77103377467407e-21	6.37603897839202e-20
ENSG00000159423	0.801225611739752	3.57364210096538	0.000299741631394678	0.000677716334618761
ENSG00000169991	-0.120927891054817	4.74446803615692	0.221281616008873	0.276846632870539
ENSG00000127481	0.0720531196859529	7.6877125859485	0.425553287946973	0.489153745011543
ENSG00000127463	0.258409140391451	5.92554312315752	0.0167134576507088	0.0271559892223463
ENSG00000053372	0.388162809599006	4.61975054497349	0.000475584953295243	0.00103533009609321
ENSG00000211454	1.94219848774259	0.844224530450623	1.34373977652884e-16	2.06853550733241e-15
ENSG00000162482	2.34497425548	1.71631157689213	1.51002041552174e-20	4.56162407931071e-19
ENSG00000270728	0.336307107700681	0.5519068814575	0.0191501720069428	0.0307618587436009
ENSG00000053371	-0.0313888215104021	4.92883435577976	0.741317017283756	0.785045733274295
ENSG00000040487	0.288934369021963	3.90242901635606	0.0019011921038055	0.00370806292945133
ENSG00000077549	-0.169685691656943	7.68946382378708	0.0852114987741988	0.118751008974861
ENSG00000173436	-0.243149533265354	3.9768493402169	0.00158679238313334	0.00313565533983531
ENSG00000226396	0.893597036550642	1.05525336561027	0.000378641007464236	0.000839571655513139
ENSG00000158747	-1.08795514946974	6.15216146268663	5.79378128050475e-09	2.75286830993519e-08
ENSG00000162542	0.335712536799615	4.69722717374871	6.10825524066278e-05	0.000154935277183933
ENSG00000178828	4.30749805948054	-1.88743258953712	1.21915098060409e-11	8.57846726772522e-11
ENSG00000169914	0.206800821784882	4.95685897943873	0.0437947405219875	0.0652858817413333
ENSG00000188257	-2.5176646134042	5.71102851211595	7.80141755882114e-05	0.000194300368632727
ENSG00000127472	-1.1048712018515	2.15503780372456	3.10247682095891e-06	9.66289253585171e-06
ENSG00000117215	-0.684403422460093	3.52110471188967	0.131571326287029	0.17476437277044
ENSG00000158786	6.72702950079616	-0.689349442742301	8.65173051172573e-14	8.51148943438091e-13
ENSG00000227066	4.60689765213584	2.85931910236381	9.01311295946283e-35	3.12180045245946e-32
ENSG00000162543	-0.27145080167946	4.55825590652798	0.384820014529257	0.447791259586587
ENSG00000162545	-1.41237012612335	5.73878716955915	1.09624108243116e-10	6.70188286821654e-10
ENSG00000090432	-0.34271988840149	4.90267767754337	4.32736244942787e-05	0.000112446493657426
ENSG00000183114	-1.51683342561859	0.142696193483763	6.53205732053328e-07	2.27777294761661e-06
ENSG00000158825	0.817249998151553	2.07214953878849	0.0075478157945908	0.0131439035625463
ENSG00000158828	-0.613459846041777	4.51042334321074	1.12390100356303e-08	5.0989266622804e-08
ENSG00000117242	-0.214086565678803	2.29565505132875	0.0113948004501755	0.0191521492092078
ENSG00000244038	0.567016420303788	7.42327087516573	3.03847033076221e-07	1.112241808941e-06
ENSG00000117245	-1.6673097842991	2.73806964578769	6.29713329610535e-18	1.20364520252579e-16
ENSG00000127483	0.00761612375910447	7.67973197572077	0.91328166679428	0.929287109569482
ENSG00000075151	0.454103810399262	6.29832103563251	7.26189680570291e-08	2.90431289479245e-07
ENSG00000117298	-0.153540626225044	7.65142978600205	0.284249706731477	0.344284723160023
ENSG00000231105	0.674782306666236	-0.397709562913657	0.00059804692619522	0.00128000902411419
ENSG00000227001	0.84122582752344	-0.498700659741978	0.00214642000499029	0.0041401278425588
ENSG00000142794	0.354499049319819	3.58075672342774	0.0134565905446198	0.0222603299943072
ENSG00000162551	-0.353948673646417	6.94507052851058	0.215043571180017	0.269983769854094
ENSG00000076864	1.09122775797668	6.25899102995469	1.53488410303571e-06	5.05231636013179e-06
ENSG00000090686	0.45525243422486	6.3039283012053	1.73514297931937e-11	1.19456090855198e-10
ENSG00000187942	-0.727610099093586	1.61199136274815	0.000140498065332755	0.000336207937399608
ENSG00000142798	-0.782402650651379	8.65585369151164	2.19036747231087e-06	7.00561887458257e-06
ENSG00000218510	0.142236174989146	3.75161750556828	0.206191187493371	0.260132019679886
ENSG00000070831	-0.223506303189224	7.82587902191902	0.00139998353987209	0.00279530553349951
ENSG00000162552	-0.664386826863177	2.61745888157151	0.0291248737668503	0.0451249104660076
ENSG00000184677	-0.0772969717989555	6.15596958606496	0.281029894849865	0.340897865928322
ENSG00000173372	-1.49249877330877	8.12223528923277	3.9645265822811e-12	3.01223050345859e-11
ENSG00000159189	-1.02402975144561	7.90571446074031	5.94024364191565e-06	1.76842849025554e-05
ENSG00000173369	-1.47222533759087	8.10838962179896	2.94848132105269e-10	1.70011599479413e-09
ENSG00000133216	1.53778049201563	4.02474950139744	1.34236087220626e-10	8.1249435256859e-10
ENSG00000004487	0.455893771220726	6.16935243686326	1.93572139616013e-09	9.86471515156287e-09
ENSG00000169641	-0.634934374866684	5.81628690280922	5.63629480128203e-08	2.29856935166372e-07
ENSG00000179546	2.47980597899347	0.134000647651449	1.61791698508467e-08	7.18283631234606e-08
ENSG00000261326	1.70559918893006	3.77672580409323	3.65755412817725e-20	1.01909299418797e-18
ENSG00000125944	-0.0136412752988475	6.80659842620054	0.860427502667365	0.887372457574039
