	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000197256	-1.57547190627464	7.4946586117949	-11.4515160220746	2.78576197722383e-18	5.65284569297471e-16	31.1610797159465
ENSG00000077152	2.43477255803472	1.62714277697582	11.4530710521587	2.76736861671605e-18	5.65284569297471e-16	31.136664610362
ENSG00000121691	-1.39599992679413	7.10545029581868	-11.4065889156624	3.37373540403007e-18	6.71039312193664e-16	30.965719827387
ENSG00000182916	-1.69317419673549	1.51043487367578	-11.4282624293115	3.07594677664233e-18	6.17926947959677e-16	30.9656925186397
ENSG00000035141	1.13514859832493	5.04674775199938	11.3814720335204	3.75530459242763e-18	7.39610921149791e-16	30.8690873297551
ENSG00000112964	-2.13657557027924	3.16531042104483	-11.3616431048988	4.08697438406672e-18	7.9711872234482e-16	30.8200105100611
ENSG00000185842	2.31078044025468	2.54240851617323	11.3552322042663	4.20038837254242e-18	8.11361557846199e-16	30.7919622413217
ENSG00000133401	-2.03157850526973	5.8437649093268	-11.3261112854669	4.75674721159614e-18	9.01493346544856e-16	30.6335919673831
ENSG00000134030	-0.994861760416592	5.66166806746247	-11.3197767330597	4.88726457941767e-18	9.17572505943192e-16	30.5967458084052
ENSG00000154721	-2.2007973345818	5.01062324194304	-11.3070829479919	5.15974762950232e-18	9.50955689257542e-16	30.5767785756138
ENSG00000088256	-0.806935026835127	6.02200260601426	-11.312612725048	5.03921689078388e-18	9.37341001101457e-16	30.5603416086247
ENSG00000092421	-2.16127999892271	4.97162929515927	-11.2980422752727	5.36308041631683e-18	9.7944474984899e-16	30.5395297732182
ENSG00000168309	-3.92295440719989	5.56248216562979	-11.2872670077044	5.61597814785489e-18	1.00731593760944e-15	30.5057815025321
ENSG00000186994	-2.81358939696677	4.26101970456021	-11.27592690158	5.89509636336721e-18	1.04802292782021e-15	30.4677039823932
ENSG00000124602	2.56476992744108	2.93099945919907	11.2727050726156	5.97691147916986e-18	1.05324714653547e-15	30.4535433662573
ENSG00000183801	-1.88253880336192	4.58330105121532	-11.2591552597907	6.3336818899089e-18	1.10641161292504e-15	30.3826439989808
ENSG00000108622	-1.67152786843081	3.50804841865562	-11.2448494633345	6.73362717608153e-18	1.1561695413701e-15	30.3377079676089
ENSG00000165495	-2.54528868681017	3.43239117606035	-11.2314156091052	7.13229064636579e-18	1.18413708094911e-15	30.2775146894519
ENSG00000150938	-1.74757444965688	7.23010545360818	-11.2424232986543	6.80393093914766e-18	1.15834041217405e-15	30.2716080887629
ENSG00000122694	-2.04317424208239	5.79710663729164	-11.2400311160884	6.87397253458777e-18	1.16043053989356e-15	30.268517774781
ENSG00000128512	-1.3919071331949	6.43690277763548	-11.2121365888105	7.74624863039529e-18	1.27552777652468e-15	30.1360489484516
ENSG00000174839	-0.74669498225913	5.29758646189928	-11.2019326759646	8.0924295844896e-18	1.32169770668953e-15	30.1019521783452
ENSG00000246430	-3.5368987461179	1.73061778278355	-11.2314981584918	7.12976983868302e-18	1.18413708094911e-15	30.0871145572291
ENSG00000205213	1.84477422154739	4.88244081082769	11.1924676755308	8.42743493640524e-18	1.36531242288262e-15	30.0784298366426
ENSG00000176438	-1.70256619507914	5.10236014671356	-11.1786271941949	8.94257251296603e-18	1.4371787137038e-15	30.0214490124295
ENSG00000126895	-2.78054141928622	0.724668993367545	-11.251091573087	6.55608578097089e-18	1.13538971770624e-15	29.9838247775913
ENSG00000198719	-1.85531136021315	4.22845892417087	-11.1582701267666	9.75834755837745e-18	1.54358617401767e-15	29.9647777807022
ENSG00000116016	-2.21597542740597	9.73933204814326	-11.1469221476096	1.02451609905636e-17	1.60589059915808e-15	29.9076316072283
ENSG00000034971	-4.91390546866645	0.788368538565837	-11.2907464973207	5.53302951309049e-18	1.00137864764392e-15	29.8926915361714
ENSG00000235770	-1.85728021130704	1.50527998593275	-11.1706521382221	9.25365808179701e-18	1.47537093020016e-15	29.8920517175632
ENSG00000143633	1.12023874628665	3.3462191752146	11.138285033753	1.06319832534344e-17	1.6304268059408e-15	29.8871716697397
ENSG00000144843	-1.26455160494585	4.59738160803252	-11.1440222012616	1.0373434452725e-17	1.60589059915808e-15	29.8861150148486
ENSG00000173210	-2.11242575814844	5.14305524253576	-11.1436044754521	1.03920442974041e-17	1.60589059915808e-15	29.8776202051693
ENSG00000004776	-2.95753003454104	3.8050527073844	-11.1272036442247	1.11498579223509e-17	1.68413154738427e-15	29.8410196446065
ENSG00000279453	-1.47643479203554	3.49292134531103	-11.1225890304509	1.13729260032821e-17	1.70500530208906e-15	29.821950881857
ENSG00000184347	-2.87872602143652	6.33493945068637	-11.1296752828876	1.10321942705808e-17	1.67898295986134e-15	29.8039433862338
