	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000168056	6073.50498554887	-0.368162572841206	0.0964506768187437	-3.8171071990825	0.000135025513399893	0.000320024485451916
ENSG00000260233	53.8548372037185	1.03594875348332	0.145423451300673	7.12367052368619	1.05090088908556e-12	8.14174622477434e-12
ENSG00000173465	313.214027543149	0.223023509062969	0.0961399458652363	2.3197798485927	0.0203527897335798	0.0323215172298723
ENSG00000176973	192.007024297416	0.206580640244474	0.141700603151138	1.457867049614	0.144877192508692	0.189679217955364
ENSG00000173442	3789.10513012088	-0.0834299515545368	0.107686582713972	-0.774747879001194	0.438488653128573	0.501925843458684
ENSG00000213445	1952.77781153456	-0.270263840197606	0.118767694751199	-2.27556694405637	0.0228719416834998	0.0359695034037754
ENSG00000173338	24.9846222200765	-1.28967239482271	0.232398771864669	-5.54939419203864	2.86661177119972e-08	1.19376790778671e-07
ENSG00000173327	2780.48273084932	-0.608888633919076	0.092777694671996	-6.56287738202297	5.27792478762755e-11	3.23552734387091e-10
ENSG00000197136	1768.31504384753	0.213206296932252	0.0677403747153194	3.14740356586832	0.00164727432503812	0.00322032832967018
ENSG00000173039	2351.11624615662	-0.358247986540761	0.0885192231855253	-4.04712076821909	5.18514925269593e-05	0.000131239086981742
ENSG00000172977	724.645683952827	-0.406707032723173	0.0642353961237056	-6.33150968571798	2.42773927154848e-10	1.35625289839092e-09
ENSG00000172922	633.611377409108	-0.0113859044655903	0.0816519166694748	-0.139444423719778	0.889098970190793	0.911699719879681
ENSG00000254470	844.26150997869	-0.4259147405823	0.120568916524822	-3.53254182635552	0.000411585112155854	0.00089493812296774
ENSG00000172818	39.3369470521736	2.50473274501174	0.294911550491856	8.4931659707269	2.01082820016821e-17	3.02135584990121e-16
ENSG00000172757	10584.0441152539	-0.0149845526322999	0.100522379795837	-0.14906683131392	0.881500898199989	0.905202246278156
ENSG00000172803	43.2284533318892	0.219711969146448	0.166366287358957	1.32065199406891	0.186617427726189	0.237486222323034
ENSG00000172732	914.464265545444	0.170769128717158	0.0700737701063605	2.43699073787465	0.014810058699814	0.0241865920836163
ENSG00000172638	1668.40412967272	-0.925518364999079	0.156182358219992	-5.92588289450358	3.10623897476182e-09	1.49858873112368e-08
