A	B	correlation	p-value
ME42	gender_man	0.0167868502691514	0.886332306105024
ME14	gender_man	-0.0424010643585106	0.717950717034374
ME79	gender_man	0.0615215086050704	0.600041898895207
ME78	gender_man	0.0390977465577751	0.739106542567321
ME47	gender_man	0.0168114050471293	0.886167148470279
ME2	gender_man	-0.0316042432024699	0.787798138468549
ME70	gender_man	-0.0194512003702882	0.86844132174638
ME88	gender_man	0.0434658480362615	0.711175403374739
ME102	gender_man	0.0333339502448276	0.776478803580565
ME13	gender_man	0.0317949895802775	0.786547677257356
ME75	gender_man	0.0505618792114963	0.66661389819719
ME81	gender_man	0.160553379156616	0.168814060726534
ME94	gender_man	0.0256916827701251	0.826809313371403
ME31	gender_man	0.122482512065016	0.295163459232341
ME8	gender_man	0.129823333295441	0.266945107428684
ME59	gender_man	0.0403019680671583	0.731370824092335
age	gender_man	0.0591636537642369	0.614114845008932
stage_4	gender_man	0.199230272962049	0.0865966317132139
ME9	gender_man	0.123716746137311	0.290287108142762
ME51	gender_man	0.0870970145484295	0.457465299697156
ME86	gender_man	0.152282628544194	0.192139033822365
ME82	gender_man	-0.00322601599272182	0.97808571716088
ME87	gender_man	0.0705797473670854	0.547358294986352
ME99	gender_man	-0.0669262508201678	0.568336128588441
ME33	gender_man	0.00532693156251007	0.96382191838326
ME89	gender_man	0.0121459362476839	0.91762648958684
ME20	gender_man	-0.080359530745379	0.493120125738846
ME73	gender_man	0.00562292808322172	0.961813109690122
ME39	gender_man	-0.0480419069696097	0.682316901322986
ME50	gender_man	0.0267910324930932	0.819520977684966
ME93	gender_man	0.000860840413826057	0.994151653878896
ME32	gender_man	-0.13607848260277	0.244381478858119
ME45	gender_man	-0.0959530729811967	0.412836121164051
ME90	gender_man	-0.141337021422231	0.226455946093992
stage_1A	gender_man	0.027895430899738	0.812214512726235
smoking_ever	ME49	0.112809663663067	0.335230514445898
ME95	ME49	0.119993592191295	0.305159485864481
gender_man	ME49	0.0715300919307966	0.541963713773969
ME49	ME49	1	0
stage_2B	ME49	0.332934244581425	0.00351580537240239
stage_2A	ME49	-0.0449524872550437	0.701753140481236
ME53	ME49	0.351019068277202	0.00201681057038205
ME56	ME49	0.277371049845948	0.0159859929695666
ME25	ME49	0.27553184820656	0.0167290480059552
ME57	ME49	0.328579519076201	0.00399999226391635
ME69	ME49	-0.0888739237825347	0.448303941487015
ME74	ME49	-0.0877477396863409	0.454098413534586
ME5	ME49	0.0122885599844587	0.916662650322263
ME68	ME49	-0.0129985954748266	0.911866102129147
ME100	ME49	-0.0502873141003697	0.668318051036737
ME21	ME49	0.0238002470884997	0.839382849505457
ME103	ME49	0.0741784940600338	0.527068644477902
ME76	ME49	-0.0980628387413189	0.40258968423256
ME104	ME49	0.0995419777635541	0.395495883156407
ME10	ME49	0.112556792520642	0.336321946585362
ME15	ME49	0.168676933991397	0.147998352572167
ME101	ME49	0.112987904618834	0.334462542010752
smoking_current	ME49	-0.068623819620753	0.558542208924855
stage_3A	ME49	-0.0691158400494521	0.555718646626818
ME27	ME49	0.00864521415368568	0.941317850635063
ME44	ME49	0.0906116485097496	0.439444176901791
ME62	ME49	0.143575406132513	0.2191115665732
ME80	ME49	0.084295709766144	0.47211497832626
ME84	ME49	0.118432657624955	0.311539442618936
ME48	ME49	0.0769478037380235	0.511715509324085
ME58	ME49	0.0689536960327113	0.556648389797737
ME46	ME49	0.220152552425869	0.057707824718297
ME43	ME49	-0.0304707390566006	0.795239914722286
ME28	ME49	-0.256477521803459	0.0263408102177044
ME71	ME49	-0.271166670092848	0.018612427769839
ME36	ME49	0.0213534645845591	0.855707416390092
ME41	ME49	0.0718635003403388	0.54007731312675
ME18	ME49	0.114396642596383	0.328431948694213
ME54	ME49	-0.00870730002177505	0.940897175976436
ME37	ME49	0.11674719345774	0.318524385504142
ME52	ME49	0.0958939586037179	0.413125382054797
ME23	ME49	0.480997917075757	1.25328541408318e-05
ME83	ME49	0.63295344280413	1.10919141868277e-09
ME6	ME49	0.239751003751164	0.0382886052710269
ME67	ME49	0.267814802380029	0.0201792924769582
ME4	ME49	0.101563500705583	0.385921422735432
ME1	ME49	-0.0185680817932736	0.874364569709429
ME72	ME49	0.0466369639908772	0.69113106578977
ME35	ME49	0.0714345585748865	0.54250482728749
ME17	ME49	0.0594467618249155	0.61241759446232
ME7	ME49	0.243560596736643	0.0352311703582381
ME66	ME49	0.149753139594736	0.199715451763795
ME64	ME49	0.0739116278870356	0.528560223604396
ME85	ME49	0.0871323316048725	0.457282215877466
ME40	ME49	-0.170278321650555	0.144132015194539
ME30	ME49	0.0809533192922092	0.489920342803593
ME77	ME49	0.0866763841099095	0.459648945996069
ME60	ME49	0.0482568575010796	0.680972069587432
ME98	ME49	-0.0049609858561812	0.966305753462381
ME61	ME49	0.0711263619853756	0.544252289087736
ME55	ME49	0.159563440969356	0.171490767708702
ME91	ME49	0.170098779054538	0.144561683940665
ME19	ME49	0.0389247779844062	0.740219811350907
ME26	ME49	-0.0494028894964328	0.673818794024345
ME63	ME49	0.0480846452786791	0.682049431474689
ME65	ME49	0.154540920553731	0.185551721813782
ME97	ME49	0.258698419082336	0.0250220100381302
ME3	ME49	0.160441835664871	0.169114120749417
ME29	ME49	0.269997026182779	0.0191469163192524
ME92	ME49	0.251358621050241	0.0296059574478519
treat_Treat	ME49	0.320727100996644	0.00502464870525412
group_treat	ME49	0.320727100996644	0.00502464870525412
ME34	ME49	0.208656399464689	0.0724154973318669
ME0	ME49	0.299937383006079	0.00893854851907103
ME22	ME49	0.141991809244142	0.224289947195324
ME12	ME49	0.0494863188000748	0.673299163591798
stage_3B	ME49	-0.0416239358454866	0.722909439081752
ME38	ME49	-0.311368168863674	0.00654425862474441
ME96	ME49	-0.144794235979915	0.21518365100188
ME11	ME49	-0.0899930122363942	0.442586943971051
ME16	ME49	-0.0273819619795525	0.815609563021456
stage_1B	ME49	-0.0453435526279102	0.699281955367514
gender_woman	ME49	-0.0715300919307966	0.541963713773969
smoking_never	ME49	-0.0614556665363597	0.600432934400724
ME24	ME49	-0.340927382247174	0.00276112541181717
treat_Ctrl	ME49	-0.320727100996644	0.00502464870525412
group_ctrl	ME49	-0.320727100996644	0.00502464870525412
ME42	ME49	-0.421536364029017	0.000165604217249992
ME14	ME49	-0.369520691874415	0.00110358449602282
ME79	ME49	-0.32868813542723	0.00398722909355042
ME78	ME49	-0.019662806496637	0.867023098926266
ME47	ME49	-0.214139657649914	0.0650639190660522
ME2	ME49	-0.302598877745642	0.00832146415644746
ME70	ME49	-0.182815313833256	0.116439011036474
ME88	ME49	-0.189773476120891	0.102945449914643
ME102	ME49	-0.191164998902844	0.100399275574942
ME13	ME49	-0.284982649737384	0.0132050419139104
ME75	ME49	-0.214845879816853	0.064162536979235
ME81	ME49	-0.109000224992035	0.35190926152064
ME94	ME49	0.0796151502112043	0.497146845956781
ME31	ME49	-0.208602674292776	0.0724906916418254
ME8	ME49	-0.100293879104739	0.391918381950347
ME59	ME49	-0.0551800048537902	0.638208525633029
age	ME49	0.0250820504116486	0.830857328601635
stage_4	ME49	-0.015670694559296	0.893844665641185
ME9	ME49	0.169622352163023	0.145706494199159
ME51	ME49	0.0566978472448746	0.628982403339039
ME86	ME49	0.0939262548675267	0.422820731248897
ME82	ME49	0.139236543577213	0.233502677193496
ME87	ME49	-0.328467563767755	0.00401318578381211
ME99	ME49	-0.238093273534171	0.039686373367827
ME33	ME49	-0.288786388987832	0.011979691787188
ME89	ME49	-0.323012494862625	0.00470480321997785
ME20	ME49	-0.0448154011628819	0.702620135813523
ME73	ME49	0.0878287236635833	0.453680357712113
ME39	ME49	-0.0731751525652725	0.532687450629844
ME50	ME49	0.0189749421781749	0.871634801160373
ME93	ME49	-0.0983894621394098	0.401016839661291
ME32	ME49	-0.00649774409756914	0.955877522151555
ME45	ME49	0.022823526771675	0.845891672601416
ME90	ME49	0.0257432827036401	0.826466890267114
stage_1A	ME49	-0.0877558385380245	0.454056596039229
smoking_ever	stage_2B	0.257807877842046	0.0255439436086384
ME95	stage_2B	0.278385053460931	0.0155886102208967
gender_man	stage_2B	0.290042807863748	0.0115972414066888
ME49	stage_2B	0.332934244581425	0.00351580537240239
stage_2B	stage_2B	0.999999999999999	0
stage_2A	stage_2B	-0.0820178562058208	0.484211311578459
ME53	stage_2B	0.0863269215804339	0.461467471306099
ME56	stage_2B	0.0632242046535976	0.589969057432113
ME25	stage_2B	0.0254022566620103	0.828730574427676
ME57	stage_2B	0.115914787134743	0.322010824395737
ME69	stage_2B	-0.0853678192174662	0.466478590645691
ME74	stage_2B	0.0442262406607032	0.706350559422113
ME5	stage_2B	-0.0265055954638642	0.821411893153655
ME68	stage_2B	-0.0671805071747335	0.566864119776901
ME100	stage_2B	0.0128203629298489	0.913069839078564
ME21	stage_2B	-0.0470492615897538	0.688540124875958
ME103	stage_2B	0.235833081753395	0.0416602119174458
ME76	stage_2B	0.180243661715952	0.12175676448457
ME104	stage_2B	0.21203148049023	0.0678156601567635
ME10	stage_2B	0.353753363530083	0.00184898696480997
ME15	stage_2B	0.27300715375231	0.0177972796789414
ME101	stage_2B	-0.0119279593185297	0.91909978803042
smoking_current	stage_2B	0.100930625582433	0.3889038691489
stage_3A	stage_2B	-0.110866964230479	0.343672887018405
ME27	stage_2B	0.215206539845508	0.0637061206840441
ME44	stage_2B	0.0991180843088414	0.397521232082914
ME62	stage_2B	-0.0159596125940356	0.891899161798177
ME80	stage_2B	-0.0104481877704456	0.929108452771251
ME84	stage_2B	-0.0321047400737114	0.784518219389241
ME48	stage_2B	-0.0631454344247926	0.59043336065957
ME58	stage_2B	-0.0531340418318165	0.650731922173862
ME46	stage_2B	-0.0150506405722858	0.898022056070051
ME43	stage_2B	-0.065794880890235	0.57490776541454
ME28	stage_2B	-0.0479112956525478	0.6831345503485
ME71	stage_2B	0.0553184402644167	0.637364747996399
ME36	stage_2B	-0.0532081976539596	0.650276294585506
ME41	stage_2B	-0.0227593813194255	0.846319500805346
ME18	stage_2B	0.207348972926603	0.0742632272770232
ME54	stage_2B	0.312454141138719	0.00634930504456252
ME37	stage_2B	-0.0481050047180054	0.681922029420228
ME52	stage_2B	-0.0935003897310647	0.424936115221755
